#,   Rep, Win, BC,  BS,  RC,  RS,  Time
2,   1,   2,   5,   5,   4,   6,   15
2,   1,   2,   7,   3,   8,   2,   19
2,   1,   2,   7,   3,   8,   2,   19
2,   1,   2,   7,   3,   8,   2,   19
2,   1,   2,   7,   3,   8,   2,   19
2,   1,   2,   7,   3,   8,   2,   19
2,   1,   2,   7,   3,   8,   2,   19
2,   1,   2,   7,   3,   8,   2,   19
2,   1,   2,   7,   3,   8,   2,   19
2,   1,   2,   7,   3,   8,   2,   19
2,   1,   2,   7,   3,   8,   2,   19
2,   1,   2,   7,   3,   8,   2,   19
2,   1,   2,   7,   3,   8,   2,   19
2,   1,   2,   7,   3,   8,   2,   19
2,   1,   2,   7,   3,   8,   2,   19
2,   1,   2,   7,   3,   8,   2,   19
2,   1,   2,   7,   3,   8,   2,   19
2,   1,   2,   7,   3,   8,   2,   19
2,   1,   2,   7,   3,   8,   2,   19
5,   1,   4,   4,   6,   6,   4,   17
5,   1,   4,   4,   6,   6,   4,   17
5,   1,   4,   4,   6,   6,   4,   17
5,   1,   4,   4,   6,   6,   4,   17
5,   1,   4,   4,   6,   6,   4,   17
5,   1,   4,   4,   6,   6,   4,   17
5,   1,   4,   4,   6,   6,   4,   17
5,   1,   4,   4,   6,   6,   4,   17
5,   1,   4,   4,   6,   6,   4,   17
5,   1,   4,   4,   6,   6,   4,   17
5,   1,   4,   4,   6,   6,   4,   17
7,   1,   4,   7,   3,   8,   2,   19
7,   1,   4,   7,   3,   8,   2,   19
7,   1,   4,   7,   3,   8,   2,   19
7,   1,   4,   7,   3,   8,   2,   19
7,   1,   4,   7,   3,   8,   2,   19
7,   1,   4,   7,   3,   8,   2,   19
7,   1,   4,   7,   3,   8,   2,   19
7,   1,   4,   7,   3,   8,   2,   19
7,   1,   4,   7,   3,   8,   2,   19
7,   1,   4,   7,   3,   8,   2,   19
7,   1,   4,   7,   3,   8,   2,   19
7,   1,   4,   7,   3,   8,   2,   19
2,   1,   2,   7,   3,   8,   2,   19
5,   1,   4,   4,   6,   6,   4,   17
