#,   Rep, Win, BC,  BS,  RC,  RS,  Time
2,   1,   2,   5,   5,   4,   6,   15
5,   1,   4,   4,   6,   6,   4,   17
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   10,   0,   4,   6,   13
8,   1,   2,   9,   2,   7,   3,   21
8,   1,   2,   9,   2,   7,   3,   21
8,   1,   2,   9,   2,   7,   3,   21
8,   1,   2,   9,   2,   7,   3,   21
8,   1,   2,   9,   2,   7,   3,   21
8,   1,   2,   9,   2,   7,   3,   21
8,   1,   2,   9,   2,   7,   3,   21
8,   1,   2,   9,   2,   7,   3,   21
8,   1,   2,   9,   2,   7,   3,   21
8,   1,   2,   9,   2,   7,   3,   21
8,   1,   2,   9,   2,   7,   3,   21
8,   1,   2,   9,   2,   7,   3,   21
20,   1,   1,   9,   2,   10,   0,   12
20,   1,   1,   9,   2,   10,   0,   12
20,   1,   1,   9,   2,   10,   0,   12
20,   1,   1,   9,   2,   10,   0,   12
20,   1,   1,   9,   2,   10,   0,   12
20,   1,   1,   9,   2,   10,   0,   12
20,   1,   1,   9,   2,   10,   0,   12
20,   1,   1,   9,   2,   10,   0,   12
20,   1,   1,   9,   2,   10,   0,   12
20,   1,   1,   9,   2,   10,   0,   12
20,   1,   1,   9,   2,   10,   0,   12
20,   1,   1,   9,   2,   10,   0,   12
1444520380,   1,   2,   10,   1,   6,   4,   16
564806589,   1,   2,   10,   1,   6,   4,   17
1203058053,   1,   2,   10,   1,   7,   3,   19
632591762,   1,   1,   7,   4,   7,   3,   17
1660138275,   1,   1,   5,   6,   9,   1,   17
1972953550,   1,   1,   6,   5,   10,   0,   12
472698285,   1,   1,   6,   5,   10,   0,   15
947001939,   1,   1,   9,   2,   6,   4,   15
2041600593,   1,   2,   10,   1,   8,   2,   20
1445496742,   1,   1,   8,   3,   8,   2,   15
1519774051,   1,   1,   6,   5,   10,   0,   15
205949487,   1,   2,   11,   0,   5,   5,   16
1657852805,   1,   1,   10,   1,   7,   3,   20
1323356624,   1,   1,   7,   4,   9,   1,   16
1712888914,   1,   2,   8,   3,   5,   5,   17
583413024,   1,   2,   9,   2,   7,   3,   23
1062974939,   1,   2,   10,   1,   8,   2,   22
908483742,   1,   1,   7,   4,   10,   0,   10
1822451917,   1,   2,   11,   0,   7,   3,   27
218191106,   1,   1,   8,   3,   8,   2,   24
398985333,   1,   1,   6,   5,   8,   2,   15
1284106952,   1,   2,   11,   0,   5,   5,   16
374725015,   1,   1,   7,   4,   10,   0,   14
1025607696,   1,   1,   7,   4,   10,   0,   18
1274774723,   1,   2,   8,   3,   4,   6,   18
573334814,   1,   1,   5,   6,   9,   1,   17
520128065,   1,   4,   7,   4,   8,   2,   20
1120587423,   1,   4,   10,   1,   9,   1,   22
205739952,   1,   1,   3,   8,   10,   0,   7
153624888,   1,   2,   10,   1,   6,   4,   20
1384348937,   1,   2,   10,   1,   4,   6,   19
2068182704,   1,   2,   8,   3,   7,   3,   16
1154790489,   1,   2,   9,   2,   6,   4,   15
1040400027,   1,   1,   8,   3,   10,   0,   16
1814534275,   1,   1,   7,   4,   10,   0,   11
1498850808,   1,   4,   6,   5,   8,   2,   20
837502312,   1,   4,   5,   6,   7,   3,   17
1598986406,   1,   1,   7,   4,   10,   0,   21
231971622,   1,   1,   8,   3,   10,   0,   17
2002847025,   1,   2,   11,   0,   6,   4,   15
2047960310,   1,   1,   6,   5,   9,   1,   17
1222817867,   1,   4,   8,   3,   7,   3,   16
697668312,   1,   1,   5,   6,   10,   0,   12
1959414194,   1,   1,   7,   4,   10,   0,   16
359880652,   1,   4,   6,   5,   7,   3,   18
980735880,   1,   1,   7,   4,   4,   6,   19
459889813,   1,   1,   7,   4,   9,   1,   25
2072027529,   1,   2,   8,   3,   7,   3,   18
1462357613,   1,   1,   8,   3,   10,   0,   13
1018361768,   1,   1,   5,   6,   10,   0,   17
170089455,   1,   1,   9,   2,   9,   1,   18
1576727429,   1,   1,   8,   3,   9,   1,   18
782374211,   1,   1,   7,   4,   9,   1,   19
970834625,   1,   2,   8,   3,   6,   4,   17
2015223528,   1,   2,   11,   0,   6,   4,   16
536161859,   1,   1,   8,   3,   9,   1,   25
1237955549,   1,   1,   7,   4,   4,   6,   16
2051724290,   1,   1,   4,   7,   9,   1,   17
180121896,   1,   1,   4,   7,   10,   0,   10
1549720755,   1,   1,   6,   5,   10,   0,   14
1983822946,   1,   1,   10,   1,   10,   0,   17
410051772,   1,   1,   8,   3,   8,   2,   17
1316085551,   1,   1,   6,   5,   9,   1,   23
1562149406,   1,   1,   7,   4,   9,   1,   22
644833037,   1,   1,   5,   6,   3,   7,   15
1656490244,   1,   2,   9,   2,   7,   3,   18
648038608,   1,   1,   8,   3,   9,   1,   20
662963405,   1,   2,   10,   1,   8,   2,   22
1742564581,   1,   2,   8,   3,   8,   2,   21
2045786536,   1,   1,   6,   5,   7,   3,   14
7101069,   1,   2,   9,   2,   8,   2,   20
1936623031,   1,   1,   6,   5,   9,   1,   19
1041936192,   1,   1,   7,   4,   10,   0,   14
1967529987,   1,   2,   11,   0,   6,   4,   16
1260620744,   1,   2,   8,   3,   6,   4,   17
1378947890,   1,   2,   11,   0,   6,   4,   13
2042319303,   1,   1,   4,   7,   7,   3,   17
1016983289,   1,   1,   7,   4,   9,   1,   16
319339550,   1,   1,   5,   6,   7,   3,   15
2083228083,   1,   4,   6,   5,   7,   3,   18
239145705,   1,   1,   6,   5,   9,   1,   14
2128402556,   1,   1,   8,   3,   6,   4,   15
968544843,   1,   4,   4,   7,   5,   5,   15
1962772060,   1,   1,   5,   6,   9,   1,   16
652112136,   1,   1,   7,   4,   7,   3,   14
775815607,   1,   1,   7,   4,   10,   0,   14
73570246,   1,   1,   5,   6,   10,   0,   19
993294186,   1,   1,   5,   6,   8,   2,   18
635349256,   1,   1,   2,   9,   10,   0,   8
1918525519,   1,   1,   10,   1,   9,   1,   20
1747971098,   1,   1,   8,   3,   7,   3,   16
1269325545,   1,   2,   11,   0,   7,   3,   11
1903062102,   1,   2,   11,   0,   3,   7,   12
2090221436,   1,   4,   7,   4,   7,   3,   16
1564319249,   1,   1,   5,   6,   6,   4,   14
1933131977,   1,   1,   2,   9,   10,   0,   12
2119160826,   1,   1,   5,   6,   8,   2,   15
2030469561,   1,   2,   11,   0,   5,   5,   13
1767975959,   1,   2,   10,   1,   8,   2,   17
1875110595,   1,   2,   10,   1,   8,   2,   29
903806141,   1,   1,   8,   3,   8,   2,   18
1634482953,   1,   1,   9,   2,   6,   4,   16
31824211,   1,   2,   8,   3,   4,   6,   15
1030030872,   1,   4,   4,   7,   5,   5,   18
669607006,   1,   2,   8,   3,   9,   1,   17
772175760,   1,   1,   4,   7,   10,   0,   12
2029998878,   1,   1,   8,   3,   10,   0,   17
2132447443,   1,   2,   6,   5,   9,   1,   18
1784712170,   1,   1,   6,   5,   10,   0,   13
1517699554,   1,   1,   5,   6,   8,   2,   14
1884812194,   1,   1,   6,   5,   9,   1,   15
743235427,   1,   4,   7,   4,   6,   4,   18
384498526,   1,   2,   9,   2,   6,   4,   17
1554120576,   1,   1,   4,   7,   8,   2,   14
845869343,   1,   1,   4,   7,   8,   2,   16
1383477011,   1,   1,   6,   5,   8,   2,   17
415591758,   1,   1,   6,   5,   10,   0,   13
1227377088,   1,   1,   8,   3,   6,   4,   18
1954482867,   1,   2,   9,   2,   7,   3,   18
531534306,   1,   2,   11,   0,   9,   1,   19
814122664,   1,   4,   9,   2,   8,   2,   18
2133329334,   1,   1,   6,   5,   10,   0,   12
179582628,   1,   1,   4,   7,   10,   0,   11
821312613,   1,   1,   7,   4,   10,   0,   19
1084784671,   1,   2,   10,   1,   6,   4,   18
954228633,   1,   4,   8,   3,   6,   4,   19
477088141,   1,   1,   8,   3,   10,   0,   20
300073026,   1,   1,   8,   3,   10,   0,   19
1644380484,   1,   4,   6,   5,   6,   4,   18
230057817,   1,   1,   7,   4,   9,   1,   16
1863543944,   1,   2,   9,   2,   6,   4,   20
1686433901,   1,   2,   11,   0,   7,   3,   15
523714095,   1,   1,   5,   6,   9,   1,   16
5881284,   1,   2,   10,   1,   3,   7,   15
1004556727,   1,   1,   8,   3,   7,   3,   19
204164594,   1,   2,   11,   0,   5,   5,   9
668979770,   1,   4,   8,   3,   6,   4,   17
756516061,   1,   2,   11,   0,   8,   2,   18
400013354,   1,   1,   6,   5,   6,   4,   15
1396791124,   1,   2,   11,   0,   7,   3,   14
1768625488,   1,   1,   7,   4,   8,   2,   18
1411661162,   1,   2,   10,   1,   7,   3,   17
441981104,   1,   1,   9,   2,   9,   1,   22
1531206897,   1,   1,   7,   4,   8,   2,   17
549454731,   1,   1,   7,   4,   8,   2,   18
1328736395,   1,   4,   8,   3,   6,   4,   19
626225226,   1,   2,   10,   1,   7,   3,   16
133028163,   1,   1,   7,   4,   7,   3,   17
864534822,   1,   2,   7,   4,   7,   3,   16
545443604,   1,   1,   5,   6,   10,   0,   11
1655132114,   1,   2,   10,   1,   8,   2,   20
1422180561,   1,   1,   8,   3,   5,   5,   16
319150703,   1,   1,   4,   7,   10,   0,   10
609990037,   1,   1,   5,   6,   9,   1,   19
784707040,   1,   4,   9,   2,   7,   3,   20
958694700,   1,   1,   7,   4,   7,   3,   17
1473060921,   1,   2,   10,   1,   2,   8,   15
1945275251,   1,   4,   6,   5,   8,   2,   15
1960042802,   1,   1,   9,   2,   6,   4,   16
1078557249,   1,   2,   9,   2,   8,   2,   18
833606198,   1,   2,   5,   6,   7,   3,   17
2088756284,   1,   1,   8,   3,   9,   1,   20
1759508952,   1,   1,   8,   3,   10,   0,   16
1445087464,   1,   1,   6,   5,   5,   5,   17
82838495,   1,   1,   9,   2,   7,   3,   20
638116622,   1,   1,   10,   1,   9,   1,   23
466594961,   1,   1,   3,   8,   8,   2,   16
808357624,   1,   4,   7,   4,   5,   5,   18
1479234899,   1,   1,   9,   2,   10,   0,   20
1140867325,   1,   2,   11,   0,   5,   5,   14
1148496190,   1,   1,   7,   4,   10,   0,   20
361292154,   1,   2,   9,   2,   6,   4,   17
1054961217,   1,   1,   5,   6,   10,   0,   13
750786284,   1,   1,   7,   4,   7,   3,   16
578930708,   1,   1,   6,   5,   10,   0,   15
1136750416,   1,   1,   5,   6,   10,   0,   11
1107315144,   1,   1,   6,   5,   10,   0,   13
611777068,   1,   2,   9,   2,   6,   4,   16
341614530,   1,   1,   3,   8,   9,   1,   13
845476215,   1,   2,   10,   1,   8,   2,   22
786423283,   1,   2,   11,   0,   4,   6,   13
388964184,   1,   2,   9,   2,   8,   2,   17
807843823,   1,   1,   5,   6,   9,   1,   20
1371034485,   1,   2,   11,   0,   7,   3,   11
1383141936,   1,   1,   6,   5,   7,   3,   15
2110998920,   1,   1,   8,   3,   10,   0,   15
700320195,   1,   1,   9,   2,   6,   4,   14
251805520,   1,   1,   8,   3,   7,   3,   16
243050390,   1,   1,   8,   3,   10,   0,   13
1636779987,   1,   2,   7,   4,   5,   5,   17
65900725,   1,   2,   11,   0,   3,   7,   14
846403283,   1,   1,   7,   4,   9,   1,   16
1517167673,   1,   1,   8,   3,   9,   1,   25
865070873,   1,   1,   3,   8,   7,   3,   16
821469356,   1,   1,   0,   11,   10,   0,   1
1571921109,   1,   1,   0,   11,   10,   0,   1
34481555,   1,   1,   0,   11,   10,   0,   1
1856733377,   1,   0,   0,   11,   0,   10,   10000
527498857,   1,   0,   0,   11,   0,   10,   10000
343485104,   1,   1,   0,   11,   10,   0,   1
344069743,   1,   1,   0,   11,   10,   0,   1
1280468497,   1,   2,   0,   11,   0,   10,   19
1215508444,   1,   1,   0,   11,   10,   0,   1
690157722,   1,   1,   0,   11,   10,   0,   1
1832714593,   1,   2,   0,   11,   0,   10,   19
239420440,   1,   1,   0,   11,   10,   0,   1
1359562426,   1,   1,   6,   5,   10,   0,   9
517307794,   1,   1,   3,   8,   10,   0,   20
713591654,   1,   2,   11,   0,   7,   3,   29
1721788680,   1,   1,   4,   7,   10,   0,   12
906873857,   1,   2,   11,   0,   9,   1,   25
1345700357,   1,   1,   4,   7,   10,   0,   15
1069983451,   1,   2,   11,   0,   8,   2,   29
1501766066,   1,   1,   6,   5,   10,   0,   15
12540507,   1,   2,   11,   0,   1,   9,   16
619116622,   1,   2,   11,   0,   8,   2,   47
979329120,   1,   1,   8,   3,   10,   0,   40
175078897,   1,   1,   5,   6,   10,   0,   19
589570877,   1,   1,   1,   10,   10,   0,   16
344567799,   1,   1,   7,   4,   10,   0,   28
1087617545,   1,   2,   11,   0,   5,   5,   20
1641519867,   1,   2,   11,   0,   7,   3,   42
689378647,   1,   1,   9,   2,   6,   4,   28
1714813491,   1,   1,   4,   7,   10,   0,   15
1626940943,   1,   1,   6,   5,   4,   6,   20
1504993876,   1,   2,   8,   3,   8,   2,   40
1854202517,   1,   2,   4,   7,   3,   7,   16
555967087,   1,   1,   5,   6,   10,   0,   11
1809117939,   1,   1,   2,   9,   10,   0,   23
1859585781,   1,   2,   11,   0,   5,   5,   10
43546358,   1,   1,   0,   11,   10,   0,   108
2091811449,   1,   1,   1,   10,   10,   0,   1339
776088875,   1,   2,   7,   4,   1,   9,   20
1285125544,   1,   2,   11,   0,   7,   3,   12
2081925604,   1,   2,   1,   10,   6,   4,   23
135350881,   1,   1,   2,   9,   0,   10,   18
2033282706,   1,   1,   6,   5,   7,   3,   17
1608024429,   1,   4,   1,   10,   4,   6,   20
287489349,   1,   2,   11,   0,   3,   7,   9771
2053398577,   1,   1,   5,   6,   9,   1,   16
367751010,   1,   2,   6,   5,   9,   1,   18
1906794481,   1,   1,   1,   10,   10,   0,   37
1026771519,   1,   1,   2,   9,   0,   10,   98
404520030,   1,   2,   0,   11,   0,   10,   51
868522499,   1,   1,   8,   3,   2,   8,   18
1812883794,   1,   2,   9,   2,   3,   7,   38
